India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I92-2B       0.0  Cm  1 45.3572 193.9   4.0   24.7  59.9   24.7  59.9    0    .0
I92-3B       0.0  Cm  1 1029.28 282.8   9.7  100.4  -4.5  100.4  -4.5    0    .0
I92-5B       0.0  Cm  0 32.4530 260.0  73.0   17.0  53.4   17.0  53.4    0    .0
I92-8B       0.0  Cm  1 921.874  73.2  35.3  121.5  18.7  121.5  18.7    0    .0
I914-8B      0.0  Cm  1 12.5161 319.4  31.1  164.8  -7.9  164.8  -7.9    0    .0
I916-2B      0.0  Cm  0 1710.83 217.0  74.8  218.2  48.4  218.2  48.4    0    .0
I1510-6B     0.0  Cm  1 11.9085 333.4 -34.3   66.2 -67.4   66.2 -67.4    0    .0
I1512-2C     0.0  Cm  1 15.3586 327.1  43.6  352.3  28.8  352.3  28.8    0    .0
I1512-3B     0.0  Cm  0 26.7204 336.4  43.2   20.5  22.6   20.5  22.6    0    .0
I1530-3C     0.0  Cm  1 20.1953 326.6  16.1  336.9 -19.3  336.9 -19.3    0    .0
I1531-7D     0.0  Cm  0 31.8602 241.8 -71.0   36.2 -34.1   36.2 -34.1    0    .0
I527-1C      0.0  Cm  1 55.4803 170.5 -26.0  133.8  20.5  133.8  20.5    0    .0
I527-4C      0.0  Cm  2 94.7534 158.3  13.3  132.3  26.2  132.3  26.2    0    .0
I527-6C      0.0  Cm  1 135.519 158.8 -28.2  106.3  19.0  106.3  19.0    0    .0
I527-7B      0.0  Cm  1 95.6169 180.2 -42.5  125.2  19.5  125.2  19.5    0    .0
I527-8C      0.0  Cm  2 119.639 136.0  63.1  235.4  69.6  235.4  69.6    0    .0
I527-9C      0.0  Cm  1 119.470 170.5  38.5  233.2  70.5  233.2  70.5    0    .0
I527-10C     0.0  Cm  1 97.8226  75.7  57.8  191.3  55.1  191.3  55.1    0    .0
I531-1B      0.0  Cm  1 1355.04 307.8  40.1  298.7   3.9  298.7   3.9    0    .0
I531-2B      0.0  Cm  2 2013.50 274.7  -5.9  272.4  -7.5  272.4  -7.5    0    .0
I531-3B      0.0  Cm  1 2735.35 241.9  10.0  265.2  27.0  265.2  27.0    0    .0
I531-4B      0.0  Cm  1 200.765  16.3  -7.2   44.6 -37.6   44.6 -37.6    0    .0
I531-5C      0.0  Cm  1 117.235 253.4 -39.3   40.8 -31.8   40.8 -31.8    0    .0
I531-6B      0.0  Cm  1 257.146 173.5 -41.1   42.0 -35.1   42.0 -35.1    0    .0
I531-7B      0.0  Cm  1 4373.74  81.7 -21.8  135.8 -22.8  135.8 -22.8    0    .0
I531-8C      0.0  Cm  1 2274.88  62.9 -27.3  122.2 -34.7  122.2 -34.7    0    .0
I531-9B      0.0  Cm  1 5218.59 245.5 -30.1  138.2 -16.4  138.2 -16.4    0    .0
I92-2B     100.0  Cm  1 43.2553 195.0   3.6   26.4  59.2   26.4  59.2    0    .0
I92-5B     100.0  Cm  1 30.4997 256.5  73.6   17.6  54.6   17.6  54.6    0    .0
I914-8B    100.0  Cm  2 11.0042 323.1  19.4  162.0 -19.8  162.0 -19.8    0    .0
I1510-6B   100.0  Cm  1 12.5819 338.0 -31.4   78.7 -68.7   78.7 -68.7    0    .0
I1512-2C   100.0  Cm  0 13.2007 335.3  38.7  358.3  23.0  358.3  23.0    0    .0
I1512-3B   100.0  Cm  1 21.2756 349.2  36.3   30.0  14.6   30.0  14.6    0    .0
I1530-3C   100.0  Cm  1 19.1708 305.5  15.2  318.0 -10.4  318.0 -10.4    0    .0
I1531-7D   100.0  Cm  1 30.3914 284.5 -68.8   46.4 -46.3   46.4 -46.3    0    .0
I527-1C    100.0  Cm  0 60.8457 166.7 -25.4  130.2  20.6  130.2  20.6    0    .0
I527-4C    100.0  Cm  1 101.499 155.9   9.4  130.2  22.1  130.2  22.1    0    .0
I527-6C    100.0  Cm  1 142.342 162.1 -32.5  110.4  15.6  110.4  15.6    0    .0
I527-7B    100.0  Cm  0 105.281 179.3 -46.7  124.5  15.3  124.5  15.3    0    .0
I527-8C    100.0  Cm  1 112.815 127.0  56.2  231.0  61.6  231.0  61.6    0    .0
I527-9C    100.0  Cm  1 116.023 167.4  30.3  232.4  61.9  232.4  61.9    0    .0
I527-10C   100.0  Cm  1 93.3159  76.3  51.2  194.3  48.7  194.3  48.7    0    .0
I531-4B    100.0  Cm  1 197.964  19.7  -7.4   48.8 -37.1   48.8 -37.1    0    .0
I531-5C    100.0  Cm  2 116.354 256.0 -39.5   42.8 -32.7   42.8 -32.7    0    .0
I531-6B    100.0  Cm  1 254.760 176.1 -41.0   44.4 -35.1   44.4 -35.1    0    .0
I92-2B     100.1  Cm  1 42.5556 193.9  -0.9   21.0  55.4   21.0  55.4    0    .0
I92-5B     100.1  Cm  0 28.1653 256.0  72.5   15.9  54.5   15.9  54.5    0    .0
I914-8B    100.1  Cm  2 10.6014 319.8  16.3  157.4 -20.9  157.4 -20.9    0    .0
I1510-6B   100.1  Cm  0 16.2897 342.6 -47.3   28.8 -77.4   28.8 -77.4    0    .0
I1512-2C   100.1  Cm  1 11.7680 335.7  29.6  357.4  13.9  357.4  13.9    0    .0
I1512-3B   100.1  Cm  0 19.0929 349.3  23.8   29.2   2.1   29.2   2.1    0    .0
I1530-3C   100.1  Cm  1 19.0147 307.4  -0.1  310.6 -24.0  310.6 -24.0    0    .0
I1531-7D   100.1  Cm  1 33.8735 279.7 -69.5   45.0 -44.8   45.0 -44.8    0    .0
I527-1C    100.1  Cm  0 62.5686 169.2 -30.4  133.3  15.9  133.3  15.9    0    .0
I527-4C    100.1  Cm  1 101.816 158.9   3.6  134.0  16.6  134.0  16.6    0    .0
I527-6C    100.1  Cm  0 145.609 162.1 -34.8  110.9  13.4  110.9  13.4    0    .0
I527-7B    100.1  Cm  0 111.164 182.1 -47.9  126.4  14.1  126.4  14.1    0    .0
I527-8C    100.1  Cm  1 106.903 127.6  55.8  231.8  61.3  231.8  61.3    0    .0
I527-9C    100.1  Cm  1 113.147 170.1  28.6  238.1  60.8  238.1  60.8    0    .0
I527-10C   100.1  Cm  1 86.8136  75.0  47.1  194.2  44.5  194.2  44.5    0    .0
I531-4B    100.1  Cm  1 198.055  15.3  -7.4   43.4 -38.1   43.4 -38.1    0    .0
I531-5C    100.1  Cm  1 116.612 253.1 -39.3   40.5 -31.7   40.5 -31.7    0    .0
I531-6B    100.1  Cm  0 255.156 177.6 -41.2   45.8 -35.2   45.8 -35.2    0    .0
I92-2B     150.1  Cm  1 39.9242 196.2 -17.9   15.9  38.7   15.9  38.7    0    .0
I92-5B     150.1  Cm  1 15.9858 250.1  65.2    2.8  54.9    2.8  54.9    0    .0
I914-8B    150.1  Cm  2  9.5440 321.4  -2.8  146.9 -37.8  146.9 -37.8    0    .0
I1510-6B   150.1  Cm  0 23.0495 338.1 -59.8  352.3 -69.4  352.3 -69.4    0    .0
I1512-2C   150.1  Cm  1  9.7561 341.1   5.6  359.8 -10.5  359.8 -10.5    0    .0
I1512-3B   150.1  Cm  0 17.4657 351.9 -15.9   29.1 -37.6   29.1 -37.6    0    .0
I1530-3C   150.1  Cm  1 18.8484 300.9 -13.9  295.1 -30.8  295.1 -30.8    0    .0
I1531-7D   150.1  Cm  0 37.7606 273.6 -70.3   43.3 -42.9   43.3 -42.9    0    .0
I527-1C    150.1  Cm  0 66.8972 165.6 -32.9  130.7  13.0  130.7  13.0    0    .0
I527-4C    150.1  Cm  1 107.746 154.2  -4.4  130.0   8.2  130.0   8.2    0    .0
I527-6C    150.1  Cm  0 151.676 160.8 -38.4  110.8   9.7  110.8   9.7    0    .0
