UV_2021_BA.dat                                     AzFile = Courtney_Barry_UV.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
UV1-1a       0.0  Cm  2  0.4927 145.6  58.2   10.2  38.0   13.3  32.5    0    .0
UV1-1a       0.0  Cm  1  0.5025 143.5  58.0   11.3  37.3   14.3  31.8    0    .0
UV1-2a       0.0  Cm  1  0.7147  85.5  58.4   71.9   8.7   71.7   2.2    0    .0
UV1-2a       0.0  Cm  1  0.7142  87.6  58.3   72.1   9.8   71.9   3.3    0    .0
UV1-3b       0.0  Cm  1  0.8583 248.0  41.1   72.2  38.9   70.4  32.3    0    .0
UV2-1a       0.0  Cm  1  0.7528 336.6  67.2  107.3  23.6  105.1  19.6    0    .0
UV2-1a       0.0  Cm  1  0.7492 336.9  65.3  106.8  21.8  104.8  17.7    0    .0
UV2-2a       0.0  Cm  2  0.7404 311.3  31.9   62.9 -18.0   63.5 -24.9    0    .0
UV2-3b       0.0  Cm  2  0.3763 115.8  14.7   14.5  29.4   16.5  23.7    0    .0
UV1-1a       4.0  Cm  1  0.4695 123.5  51.3   25.3  30.8   26.9  24.4    0    .0
UV1-2a       4.0  Cm  1  0.5806  59.8  47.6   76.2  -9.5   76.9 -15.8    0    .0
UV1-3b       4.0  Cm  1  0.7473 249.7  35.9   66.9  35.6   65.7  28.9    0    .0
UV2-1a       4.0  Cm  2  0.4400 334.6  68.8  107.1  25.3  104.6  21.3    0    .0
UV2-2a       4.0  Cm  2  0.4612 305.5  39.7   65.6  -9.3   66.0 -16.1    0    .0
UV2-3b       4.0  Cm  1  0.3735 137.6   3.6   40.6  41.1   41.5  34.3    0    .0
UV1-1a       6.0  Cm  1  0.4515 304.7  47.8  313.6 -11.9  312.2 -10.9    0    .0
UV1-3b       6.0  Cm  1  0.7158 250.2  35.8   66.9  35.2   65.7  28.5    0    .0
UV2-1a       6.0  Cm  1  0.3711 326.2  69.6  104.4  27.3  101.8  23.0    0    .0
UV2-2a       6.0  Cm  1  0.4092 307.4  42.7   68.9  -8.4   69.3 -15.1    0    .0
UV2-3b       6.0  Cm  1  0.3480 145.4  -0.5   52.1  43.9   52.0  36.9    0    .0
UV1-1a      10.0  Cm  1  0.4012 303.1  44.3  310.1 -12.9  308.6 -11.5    0    .0
UV1-2a      10.0  Cm  2  0.4744  48.8  39.6   78.3 -20.6   79.7 -26.8    0    .0
UV1-3b      10.0  Cm  1  0.6699 251.2  34.7   66.2  34.0   65.1  27.2    0    .0
UV2-1a      10.0  Cm  2  0.3056 326.5  70.6  105.0  28.1  102.3  23.9    0    .0
UV2-2a      10.0  Cm  1  0.3376 309.8  44.2   71.1  -8.7   71.6 -15.2    0    .0
UV2-3b      10.0  Cm  1  0.3309 153.6   0.9   60.1  50.1   59.0  43.2    0    .0
UV1-1a      12.0  Cm  1  0.3738 120.3  42.5   35.9  30.9   36.8  24.2    0    .0
UV1-2a      12.0  Cm  1  0.4622  48.7  37.1   80.3 -22.1   81.9 -28.2    0    .0
UV1-3b      12.0  Cm  1  0.6532 251.5  34.3   65.8  33.6   64.8  26.8    0    .0
UV2-1a      12.0  Cm  1  0.2800 324.6  70.0  104.0  27.8  101.4  23.5    0    .0
UV2-2a      12.0  Cm  1  0.2983 313.0  47.8   75.3  -7.6   75.8 -13.9    0    .0
UV2-3b      12.0  Cm  1  0.3106 157.8   0.9   65.7  52.5   63.7  45.7    0    .0
UV1-1a     130.0  Cm  2  0.3304 119.8  40.2   38.7  31.0   39.4  24.2    0    .0
UV1-2a     130.0  Cm  2  0.4110  42.8  32.0   81.3 -29.2   83.6 -35.2    0    .0
UV1-3b     130.0  Cm  2  0.5815 250.8  35.3   66.6  34.6   65.5  27.8    0    .0
UV2-1a     130.0  Cm  2  0.2340 344.5  72.2  111.7  27.7  108.8  24.1    0    .0
UV2-2a     130.0  Cm  2  0.2016 322.8  49.4   81.4 -10.4   82.3 -16.4    0    .0
UV2-3b     130.0  Cm  2  0.2567 165.2  -7.7   81.8  47.8   78.5  41.7    0    .0
UV1-1a     161.0  Cm  2  0.2977 120.4  43.0   35.3  31.0   36.3  24.2    0    .0
UV1-2a     161.0  Cm  3  0.3860  40.5  31.4   80.3 -31.1   82.7 -37.1    0    .0
UV1-3b     161.0  Cm  2  0.5327 252.7  35.2   67.3  33.2   66.2  26.4    0    .0
UV2-1a     161.0  Cm  2  0.2078 350.0  67.8  112.9  23.1  110.5  19.6    0    .0
UV2-2a     161.0  Cm  2  0.1783 329.9  48.1   84.8 -13.9   86.0 -19.7    0    .0
UV2-3b     161.0  Cm  1  0.2321 164.2  -8.0   80.6  47.3   77.4  41.1    0    .0
UV1-1a     190.0  Cm  2  0.2802 120.9  41.2   37.3  31.6   38.2  24.8    0    .0
UV1-2a     190.0  Cm  2  0.3501  37.1  29.0   80.0 -34.8   82.7 -40.9    0    .0
UV1-3b     190.0  Cm  2  0.4885 254.2  34.8   67.5  31.8   66.5  25.1    0    .0
UV2-1a     190.0  Cm  3  0.1762   0.2  67.8  117.1  22.8  114.6  19.8    0    .0
UV2-2a     190.0  Cm  3  0.1391 335.0  49.2   88.4 -14.5   89.7 -20.0    0    .0
UV2-3b     190.0  Cm  2  0.2094 170.7  -9.2   90.3  47.9   86.0  42.3    0    .0
UV1-1a     220.0  Cm  2  0.2581 121.3  42.1   36.3  31.8   37.2  25.0    0    .0
UV1-2a     220.0  Cm  2  0.3507  33.2  31.1   75.2 -35.6   77.6 -41.9    0    .0
UV1-3b     220.0  Cm  2  0.4525 254.3  34.3   67.1  31.5   66.1  24.8    0    .0
UV2-1a     220.0  Cm  2  0.1878 353.8  66.7  114.4  21.8  112.1  18.5    0    .0
UV2-2a     220.0  Cm  2  0.1349 344.2  55.3   95.9 -10.6   97.1 -15.5    0    .0
UV2-3b     220.0  Cm  2  0.1908 169.7  -1.8   85.9  54.8   81.1  48.9    0    .0
UV1-1a     250.0  Cm  1  0.2225 121.2  39.3   39.5  32.2   40.2  25.3    0    .0
UV1-2a     250.0  Cm  2  0.3147  33.1  32.0   74.4 -35.0   76.7 -41.4    0    .0
UV1-3b     250.0  Cm  2  0.3965 254.8  33.5   66.4  30.8   65.5  24.1    0    .0
UV2-1a     250.0  Cm  3  0.1200 358.4  65.0  116.3  20.0  114.2  16.9    0    .0
UV2-2a     250.0  Cm  3  0.1341 350.5  43.3   97.5 -23.1  100.0 -27.8    0    .0
UV2-3b     250.0  Cm  2  0.1741 170.2 -21.9   92.8  35.3   89.9  30.0    0    .0
UV1-1a     280.0  Cm  2  0.2326 123.1  33.2   46.4  34.7   46.8  27.7    0    .0
UV1-2a     280.0  Cm  3  0.3195  34.3  30.5   76.6 -35.4   79.1 -41.6    0    .0
UV1-3b     280.0  Cm  2  0.4044 254.9  36.7   69.8  32.2   68.6  25.5    0    .0
UV2-1a     280.0  Cm  3  0.1462   3.3  62.7  118.6  17.8  116.7  15.0    0    .0
UV2-2a     280.0  Cm  3  0.0971   2.4  43.7  106.9 -23.3  109.7 -27.1    0    .0
UV2-3b     280.0  Cm  3  0.1218 176.3 -23.5   99.9  34.4   96.7  29.6    0    .0
UV1-1a     300.0  Cm  1  0.2231 125.7  44.7   32.3  34.2   33.6  27.5    0    .0
UV1-2a     300.0  Cm  2  0.2755  25.9  29.7   69.9 -40.6   72.3 -47.2    0    .0
UV1-3b     300.0  Cm  1  0.3631 254.3  36.7   69.6  32.6   68.4  26.0    0    .0
UV2-1a     300.0  Cm  2  0.1527 356.6  70.3  115.7  25.4  113.0  22.2    0    .0
UV2-2a     300.0  Cm  4  0.0866  14.7  40.5  117.3 -25.1  120.5 -27.7    0    .0
UV2-3b     300.0  Cm  2  0.1431 179.8 -27.6  103.8  30.4  100.8  26.0    0    .0
UV1-1a     320.0  Cm  2  0.1845 126.6  39.4   38.3  36.3   39.3  29.4    0    .0
UV1-2a     320.0  Cm  2  0.2825  30.3  30.9   73.0 -37.3   75.3 -43.8    0    .0
UV1-3b     320.0  Cm  2  0.3529 257.7  34.8   69.1  29.2   68.0  22.6    0    .0
UV2-1a     320.0  Cm  3  0.1239 359.0  64.5  116.6  19.5  114.5  16.5    0    .0
UV2-2a     320.0  Cm  3  0.1007 349.9  60.3  100.0  -6.3  100.8 -10.8    0    .0
UV2-3b     320.0  Cm  2  0.1088 160.2 -23.1   82.5  31.7   80.6  25.7    0    .0
UV1-1a     340.0  Cm  3  0.1521 132.0  31.2   47.5  42.4   47.8  35.4    0    .0
UV1-2a     340.0  Cm  2  0.2004  37.9  41.4   70.6 -25.3   71.9 -31.9    0    .0
UV1-3b     340.0  Cm  2  0.3037 261.5  35.0   71.0  26.6   70.0  20.0    0    .0
UV2-1a     340.0  Cm  2  0.1180  48.4  68.4  135.3  29.0  131.6  28.0    0    .0
UV2-2a     340.0  Cm  3  0.0750 343.5  40.9   91.4 -24.3   93.8 -29.6    0    .0
UV2-3b     340.0  Cm  3  0.1345 178.3  -9.7  101.5  48.2   96.2  43.5    0    .0
UV1-1a     350.0  Cm  3  0.1093 127.2  31.9   47.5  38.2   47.8  31.2    0    .0
UV1-2a     350.0  Cm  2  0.1975  13.0  33.6   54.5 -41.8   55.0 -48.8    0    .0
UV1-3b     350.0  Cm  2  0.2857 256.0  37.8   71.5  31.9   70.2  25.3    0    .0
UV2-1a     350.0  Cm  2  0.1420  43.1  58.4  139.3  19.4  136.9  19.0    0    .0
UV2-2a     350.0  Cm  4  0.0735 341.6  15.2   78.0 -47.8   82.2 -53.9    0    .0
UV2-3b     350.0  Cm  3  0.1155 169.5 -27.1   93.2  30.0   90.9  24.7    0    .0
UV1-1a     370.0  Cm  2  0.1277 135.6  43.2   30.9  41.4   32.7  34.8    0    .0
UV1-2a     370.0  Cm  2  0.2218   3.9  41.6   43.6 -35.3   42.8 -42.2    0    .0
UV1-3b     370.0  Cm  2  0.2796 255.3  34.9   68.2  31.1   67.1  24.4    0    .0
UV2-1a     370.0  Cm  3  0.1305  68.9  61.5  148.0  30.0  143.9  30.6    0    .0
UV2-2a     370.0  Cm  4  0.0656  23.8  38.5  125.3 -24.6  128.5 -26.3    0    .0
UV2-3b     370.0  Cm  3  0.0968 164.6 -29.0   88.9  27.3   87.0  21.7    0    .0
UV1-1a     380.0  Cm  2  0.1453 133.8  36.8   39.5  42.4   40.6  35.6    0    .0
UV1-2a     380.0  Cm  2  0.2024   7.4  44.7   46.2 -31.9   45.8 -38.8    0    .0
UV1-3b     380.0  Cm  2  0.2718 259.4  38.8   73.8  29.9   72.5  23.4    0    .0
UV2-1a     380.0  Cm  3  0.0934  61.0  39.6  160.3  10.8  158.9  13.0    0    .0
UV2-2a     380.0  Cm  4  0.0613  22.0  30.5  127.5 -32.5  132.0 -33.8    0    .0
UV2-3b     380.0  Cm  5  0.0647 200.9 -48.1  117.9   7.7  117.2   4.9    0    .0
UV1-1a     390.0  Cm  2  0.1111 142.2  40.2   31.5  47.2   33.6  40.6    0    .0
UV1-2a     390.0  Cm  3  0.2190  12.0  33.3   53.6 -42.3   53.9 -49.3    0    .0
UV1-3b     390.0  Cm  2  0.2515 249.9  36.2   67.3  35.6   66.1  28.9    0    .0
UV2-1a     390.0  Cm  3  0.1025  53.5  12.9  171.1 -14.6  172.5 -11.0    0    .0
UV2-2a     390.0  Cm  5  0.0640  19.9  45.0  119.8 -19.7  122.3 -22.1    0    .0
UV2-3b     390.0  Cm 22  0.0147 309.9  -3.4  214.7 -35.1  215.8 -28.4    0    .0
UV1-1a     400.0  Cm  3  0.0925 112.6  35.0   45.2  25.8   45.5  18.9    0    .0
UV1-2a     400.0  Cm  3  0.1979  23.4  40.5   60.9 -32.2   61.9 -39.1    0    .0
UV1-3b     400.0  Cm  3  0.1606 257.9  36.0   70.4  29.7   69.3  23.1    0    .0
UV2-1a     400.0  Cm  3  0.0941  54.5  40.7  155.7   8.6  154.5  10.3    0    .0
UV2-2a     400.0  Cm  6  0.0442 352.6  17.8   94.4 -48.5  100.6 -53.4    0    .0
UV2-3b     400.0  Cm  7  0.0413 224.9 -76.9  114.0 -22.3  116.7 -25.4    0    .0
UV1-1a     410.0  Cm  2  0.0962 138.5  41.6   31.6  44.0   33.5  37.4    0    .0
UV1-2a     410.0  Cm  3  0.1840  12.9  38.8   52.5 -36.8   52.7 -43.8    0    .0
UV1-3b     410.0  Cm  2  0.1631 252.6  36.3   68.5  33.7   67.3  27.0    0    .0
UV2-1a     410.0  Cm  3  0.1156  36.2  50.8  139.3  10.8  138.0  10.5    0    .0
UV2-2a     410.0  Cm  6  0.0545   9.8   7.0  123.8 -58.5  135.4 -59.9    0    .0
UV2-3b     410.0  Cm  9  0.0390 221.4 -53.9  126.9  -3.1  127.4  -4.8    0    .0
UV1-1a     420.0  Cm  3  0.0831 122.9  23.6   58.1  35.1   57.6  28.2    0    .0
UV1-2a     420.0  Cm  2  0.1310  16.7  40.8   55.2 -34.0   55.6 -41.0    0    .0
UV1-3b     420.0  Cm  2  0.1452 247.9  38.9   69.6  38.2   68.1  31.5    0    .0
UV2-1a     420.0  Cm  3  0.0911  34.4  53.5  137.2  12.8  135.6  12.2    0    .0
UV2-2a     420.0  Cm  5  0.0639  18.6  20.9  128.8 -42.5  135.3 -43.6    0    .0
UV2-3b     420.0  Cm  9  0.0360 153.8 -58.4   90.6  -3.0   91.0  -8.4    0    .0
UV1-1a     430.0  Cm  3  0.0767 116.0  38.3   41.3  28.3   41.8  21.4    0    .0
UV1-2a     430.0  Cm  2  0.1329  24.1  38.9   62.4 -33.5   63.5 -40.3    0    .0
UV1-3b     430.0  Cm  3  0.1220 245.3  40.0   69.9  40.4   68.3  33.7    0    .0
UV2-1a     430.0  Cm  7  0.0457  47.7  41.8  150.7   6.7  149.8   7.9    0    .0
UV2-2a     430.0  Cm  4  0.0611   9.8  23.7  117.1 -42.3  123.4 -44.8    0    .0
UV2-3b     430.0  Cm  6  0.0457 174.7 -71.1  102.2 -13.2  103.8 -17.5    0    .0
UV1-1a     440.0  Cm  4  0.0585 132.2  37.9   38.7  40.9   39.8  34.1    0    .0
UV1-2a     440.0  Cm  3  0.1441   6.7  41.8   46.1 -34.9   45.5 -41.9    0    .0
UV1-3b     440.0  Cm  4  0.1013 251.3  39.4   71.4  35.8   69.9  29.2    0    .0
UV2-1a     440.0  Cm  4  0.0721  58.4  43.6  156.2  12.7  154.6  14.4    0    .0
UV2-2a     440.0  Cm  6  0.0427  63.5  -2.5  186.5 -25.3  188.5 -20.2    0    .0
UV2-3b     440.0  Cm  3  0.1047 326.6 -83.5  108.5 -37.4  113.5 -40.9    0    .0
UV1-1a     450.0  Cm  2  0.0930 152.5  52.6   11.3  44.7   15.1  39.2    0    .0
UV1-2a     450.0  Cm  2  0.1444  37.4  31.7   77.9 -32.7   80.2 -38.9    0    .0
UV1-3b     450.0  Cm  3  0.1140 256.9  34.7   68.6  29.8   67.6  23.1    0    .0
UV2-1a     450.0  Cm  4  0.0747  34.4  37.7  143.5  -1.7  143.7  -1.4    0    .0
UV2-2a     450.0  Cm  6  0.0548  26.6  16.3  140.9 -42.9  147.4 -42.5    0    .0
UV2-3b     450.0  Cm  5  0.0662 220.7 -45.1  131.5   4.5  131.0   3.3    0    .0
UV1-1a     460.0  Cm  7  0.0384  24.6  60.2    0.3 -14.2  358.7 -18.5    0    .0
UV1-2a     460.0  Cm  2  0.1590   4.6  28.9   46.1 -47.9   45.3 -54.9    0    .0
UV1-3b     460.0  Cm  3  0.1046 249.1  43.7   75.8  38.9   73.7  32.5    0    .0
UV2-1a     460.0  Cm  2  0.1017  82.9  60.8  153.3  35.1  148.3  36.2    0    .0
UV2-2a     460.0  Cm  9  0.0279  31.4  32.3  134.7 -27.1  138.3 -27.6    0    .0
UV2-3b     460.0  Cm  5  0.0540 204.8  10.5  156.3  58.6  144.7  59.7    0    .0
UV1-1a     470.0  Cm  4  0.0513  73.0  41.1   34.3  -3.9   34.0 -10.6    0    .0
UV1-2a     470.0  Cm  2  0.1475  27.8  17.7   82.5 -48.8   87.4 -54.6    0    .0
UV1-3b     470.0  Cm  3  0.0924 260.7  67.1  106.8  38.1  102.7  33.9    0    .0
UV2-1a     470.0  Cm  4  0.0754  35.7  35.3  145.5  -3.5  145.9  -2.9    0    .0
UV2-2a     470.0  Cm  4  0.0563 352.7  33.0   97.7 -33.6  101.5 -38.3    0    .0
UV2-3b     470.0  Cm  6  0.0569 236.7  25.2  201.4  40.3  198.0  46.3    0    .0
UV1-1a     480.0  Cm  3  0.0883 162.5  48.3    6.9  51.9   12.2  46.6    0    .0
UV1-2a     480.0  Cm  3  0.1450  16.0  39.6   55.1 -35.4   55.6 -42.3    0    .0
UV1-3b     480.0  Cm  3  0.1490 268.0  46.9   85.4  27.9   83.6  22.1    0    .0
UV2-1a     480.0  Cm  3  0.0965  92.7  81.7  128.7  44.8  122.2  42.9    0    .0
UV2-2a     480.0  Cm  7  0.0368  30.9  19.9  142.5 -37.5  147.9 -37.0    0    .0
UV2-3b     480.0  Cm  3  0.0904 174.0 -60.6  101.0  -2.7  101.5  -7.2    0    .0
UV1-1a     490.0  Cm  3  0.0722 155.8  34.7   29.1  59.1   32.6  52.5    0    .0
UV1-2a     490.0  Cm  3  0.1320  44.7  10.6  104.0 -39.7  109.2 -43.7    0    .0
UV1-3b     490.0  Cm  4  0.0933 216.8  13.3   18.9  49.0   22.5  43.0    0    .0
UV2-1a     490.0  Cm  8  0.0418 170.9  57.9  137.2  76.0  112.0  73.9    0    .0
UV2-2a     490.0  Cm  6  0.0352  96.0 -36.8  231.3  -9.0  231.3  -2.0    0    .0
UV2-3b     490.0  Cm  5  0.0617 200.9 -20.9  127.5  33.4  123.2  31.5    0    .0
