India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I1531-7D     0.0  Cm  0 31.8602 241.8 -71.0   36.2 -34.1   36.2 -34.1    0    .0
I1531-7D   100.0  Cm  1 30.3914 284.5 -68.8   46.4 -46.3   46.4 -46.3    0    .0
I1531-7D   100.1  Cm  1 33.8735 279.7 -69.5   45.0 -44.8   45.0 -44.8    0    .0
I1531-7D   150.1  Cm  0 37.7606 273.6 -70.3   43.3 -42.9   43.3 -42.9    0    .0
I1531-7D   150.0  Cm  0 32.7562 290.4 -68.5   47.2 -48.4   47.2 -48.4    0    .0
I1531-7D   200.0  Cm  1 28.9204 287.7 -71.9   42.0 -47.6   42.0 -47.6    0    .0
I1531-7D   100.2  Cm  1 33.9317 295.9 -71.8   42.0 -50.2   42.0 -50.2    0    .0
I1531-7D   200.1  Cm  1 36.8402 298.1 -74.1   38.3 -50.5   38.3 -50.5    0    .0
I1531-7D   200.1  Cm  1 34.6931 297.6 -71.9   41.8 -50.7   41.8 -50.7    0    .0
I1531-7D   100.2  Cm  0 36.4481 303.9 -71.6   41.6 -52.7   41.6 -52.7    0    .0
I1531-7D   200.1  Cm  0 36.9552 300.8 -72.7   40.2 -51.5   40.2 -51.5    0    .0
I1531-7D   250.1  Cm  1 39.0179 313.5 -74.9   34.8 -54.1   34.8 -54.1    0    .0
I1531-7D   250.0  Cm  0 32.3305 308.4 -73.1   38.5 -53.5   38.5 -53.5    0    .0
I1531-7D   300.0  Cm  0 28.4602 315.2 -72.5   38.1 -55.6   38.1 -55.6    0    .0
I1531-7D   200.2  Cm  0 37.5608 319.0 -76.5   31.2 -54.3   31.2 -54.3    0    .0
I1531-7D   300.1  Cm  0 38.7995 327.7 -76.3   29.0 -55.9   29.0 -55.9    0    .0
I1531-7D   350.1  Cm  0 51.7546 322.5 -80.2   25.8 -52.4   25.8 -52.4    0    .0
I1531-7D   350.0  Cm  0 32.7728 332.8 -72.9   31.3 -59.4   31.3 -59.4    0    .0
I1531-7D   400.0  Cm  0 27.7853 346.0 -74.3   23.5 -60.0   23.5 -60.0    0    .0
I1531-7D   300.2  Cm  0 41.3962 338.1 -79.0   23.1 -55.0   23.1 -55.0    0    .0
I1531-7D   400.1  Cm  0 57.3543 343.2 -83.8   18.9 -50.9   18.9 -50.9    0    .0
I1531-7D   435.1  Cm  0 59.5638 348.3 -80.9   19.1 -53.8   19.1 -53.8    0    .0
I1531-7D   435.0  Cm  0 32.3747   3.4 -77.1   14.6 -57.9   14.6 -57.9    0    .0
I1531-7D   470.0  Cm  0 28.6869   0.0 -76.9   16.0 -58.1   16.0 -58.1    0    .0
I1531-7D   400.2  Cm  0 51.0748   5.8 -81.2   14.5 -53.8   14.5 -53.8    0    .0
I1531-7D   470.1  Cm  0 57.4309   0.7 -79.6   15.8 -55.4   15.8 -55.4    0    .0
I1531-7D   505.1  Cm  0 68.7923   6.8 -80.6   14.1 -54.3   14.1 -54.3    0    .0
I1531-7D   505.0  Cm  0 33.2068   0.1 -76.3   15.9 -58.7   15.9 -58.7    0    .0
I1531-7D   520.0  Cm  0 29.4540  13.7 -76.0    9.7 -58.4    9.7 -58.4    0    .0
I1531-7D   470.2  Cm  0 53.4309 357.9 -81.4   16.5 -53.6   16.5 -53.6    0    .0
I1531-7D   520.1  Cm  0 71.3326 337.3 -86.7   17.9 -48.0   17.9 -48.0    0    .0
I1531-7D   535.1  Cm  0 82.1496   5.5 -82.4   14.8 -52.5   14.8 -52.5    0    .0
I1531-7D   535.0  Cm  0 33.2118   4.5 -74.7   13.6 -60.2   13.6 -60.2    0    .0
I1531-7D   550.0  Cm  0 24.6665 348.6 -69.5   25.3 -64.8   25.3 -64.8    0    .0
I1531-7D   520.2  Cm  0 65.3984 322.3 -75.6   31.5 -55.5   31.5 -55.5    0    .0
I1531-7D   550.1  Cm  2 122.371 354.9 -81.6   17.3 -53.4   17.3 -53.4    0    .0
I1531-7D   555.1  Cm  1 143.099 343.2 -84.8   18.4 -50.0   18.4 -50.0    0    .0
I1531-7D   555.0  Cm  0 26.6604 352.9 -72.0   20.8 -62.7   20.8 -62.7    0    .0
I1531-7D   560.0  Cm  1 22.5234 353.8 -68.2   21.8 -66.6   21.8 -66.6    0    .0
