India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I527-6C      0.0  Cm  1 135.519 158.8 -28.2  106.3  19.0  106.3  19.0    0    .0
I527-6C    100.0  Cm  1 142.342 162.1 -32.5  110.4  15.6  110.4  15.6    0    .0
I527-6C    100.1  Cm  0 145.609 162.1 -34.8  110.9  13.4  110.9  13.4    0    .0
I527-6C    150.1  Cm  0 151.676 160.8 -38.4  110.8   9.7  110.8   9.7    0    .0
I527-6C    150.0  Cm  1 146.881 159.5 -37.9  109.7   9.9  109.7   9.9    0    .0
I527-6C    200.0  Cm  1 145.345 160.6 -36.2  110.1  11.8  110.1  11.8    0    .0
I527-6C    100.2  Cm  1 150.328 161.0 -38.9  111.1   9.2  111.1   9.2    0    .0
I527-6C    200.1  Cm  0 154.074 163.6 -40.4  113.4   8.3  113.4   8.3    0    .0
I527-6C    200.1  Cm  1 151.084 161.0 -38.8  111.1   9.3  111.1   9.3    0    .0
I527-6C    200.1  Cm  1 151.084 160.9 -38.8  111.0   9.3  111.0   9.3    0    .0
I527-6C    100.2  Cm  1 154.303 160.1 -41.8  111.2   6.2  111.2   6.2    0    .0
I527-6C    200.1  Cm  1 155.248 161.1 -40.9  111.7   7.3  111.7   7.3    0    .0
I527-6C    250.1  Cm  1 157.859 158.7 -43.4  110.6   4.4  110.6   4.4    0    .0
I527-6C    250.0  Cm  1 151.791 161.6 -39.4  111.8   8.8  111.8   8.8    0    .0
I527-6C    300.0  Cm  1 148.789 163.0 -39.1  112.7   9.4  112.7   9.4    0    .0
I527-6C    200.2  Cm  1 157.503 161.2 -44.4  112.7   3.9  112.7   3.9    0    .0
I527-6C    300.1  Cm  1 160.904 163.6 -44.6  114.4   4.1  114.4   4.1    0    .0
I527-6C    350.1  Cm  1 173.697 160.7 -49.6  113.6  -1.2  113.6  -1.2    0    .0
I527-6C    350.0  Cm  1 155.586 162.5 -42.8  113.2   5.7  113.2   5.7    0    .0
I527-6C    400.0  Cm  1 150.772 161.1 -41.8  111.9   6.4  111.9   6.4    0    .0
I527-6C    300.2  Cm  1 167.102 163.1 -47.3  114.6   1.4  114.6   1.4    0    .0
I527-6C    400.1  Cm  1 180.967 166.7 -50.8  117.6  -1.6  117.6  -1.6    0    .0
I527-6C    435.1  Cm  1 185.534 165.1 -53.7  117.2  -4.6  117.2  -4.6    0    .0
I527-6C    435.0  Cm  1 155.372 164.2 -44.1  114.7   4.7  114.7   4.7    0    .0
I527-6C    470.0  Cm  1 148.352 163.7 -42.6  114.0   6.1  114.0   6.1    0    .0
I527-6C    400.2  Cm  1 180.110 162.7 -50.3  115.1  -1.6  115.1  -1.6    0    .0
I527-6C    470.1  Cm  0 183.992 163.4 -52.8  116.0  -3.9  116.0  -3.9    0    .0
I527-6C    505.1  Cm  0 200.074 164.3 -56.4  117.3  -7.3  117.3  -7.3    0    .0
I527-6C    505.0  Cm  1 148.735 164.6 -46.1  115.3   2.8  115.3   2.8    0    .0
I527-6C    520.0  Cm  1 139.287 164.1 -43.9  114.6   4.9  114.6   4.9    0    .0
I527-6C    470.2  Cm  1 186.660 159.2 -58.1  115.0  -9.6  115.0  -9.6    0    .0
I527-6C    520.1  Cm  0 214.482 161.2 -61.5  116.9 -12.6  116.9 -12.6    0    .0
I527-6C    535.1  Cm  0 241.836 163.9 -67.3  119.5 -18.0  119.5 -18.0    0    .0
I527-6C    535.0  Cm  0 129.889 164.4 -48.0  115.6   0.9  115.6   0.9    0    .0
I527-6C    550.0  Cm  1 79.6478 165.9 -46.8  116.4   2.3  116.4   2.3    0    .0
I527-6C    520.2  Cm  0 199.683 165.9 -73.9  121.8 -24.3  121.8 -24.3    0    .0
I527-6C    550.1  Cm  1 376.584 162.6 -81.6  123.0 -31.9  123.0 -31.9    0    .0
I527-6C    550.1  Cm  1 376.584 162.6 -81.6  123.0 -31.9  123.0 -31.9    0    .0
I527-6C    555.1  Cm  1 403.406 151.8 -82.5  121.7 -33.3  121.7 -33.3    0    .0
I527-6C    555.0  Cm  1 63.7733 160.4 -51.6  113.9  -3.2  113.9  -3.2    0    .0
I527-6C    560.0  Cm  1 47.0406 160.2 -48.9  113.1  -0.6  113.1  -0.6    0    .0
