India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I531-6B      0.0  Cm  1 257.146 173.5 -41.1   42.0 -35.1   42.0 -35.1    0    .0
I531-6B    100.0  Cm  1 254.760 176.1 -41.0   44.4 -35.1   44.4 -35.1    0    .0
I531-6B    100.1  Cm  0 255.156 177.6 -41.2   45.8 -35.2   45.8 -35.2    0    .0
I531-6B    150.1  Cm  0 243.427 171.6 -43.1   40.3 -37.2   40.3 -37.2    0    .0
I531-6B    150.0  Cm  0 241.586 171.8 -43.0   40.5 -37.0   40.5 -37.0    0    .0
I531-6B    200.0  Cm  0 220.683 167.3 -43.8   36.4 -38.0   36.4 -38.0    0    .0
I531-6B    100.2  Cm  0 221.682 168.7 -44.1   37.7 -38.2   37.7 -38.2    0    .0
I531-6B    200.1  Cm  1 221.152 167.8 -44.6   36.9 -38.7   36.9 -38.7    0    .0
I531-6B    200.1  Cm  1 221.981 167.7 -43.3   36.7 -37.4   36.7 -37.4    0    .0
I531-6B    200.1  Cm  0 220.731 167.4 -45.6   36.6 -39.7   36.6 -39.7    0    .0
I531-6B    100.2  Cm  1 221.871 168.3 -43.9   37.3 -38.0   37.3 -38.0    0    .0
I531-6B    200.1  Cm  1 221.506 164.7 -44.8   34.1 -39.0   34.1 -39.0    0    .0
I531-6B    250.1  Cm  1 204.599 161.1 -48.2   31.0 -42.5   31.0 -42.5    0    .0
I531-6B    250.0  Cm  1 196.643 159.1 -46.1   29.0 -40.4   29.0 -40.4    0    .0
I531-6B    300.0  Cm  1 169.382 152.5 -47.9   23.2 -42.5   23.2 -42.5    0    .0
I531-6B    200.2  Cm  1 171.843 149.3 -49.8   20.5 -44.5   20.5 -44.5    0    .0
I531-6B    300.1  Cm  1 173.849 150.4 -51.6   21.7 -46.3   21.7 -46.3    0    .0
I531-6B    350.1  Cm  0 250.849 139.6 -67.5   15.3 -62.7   15.3 -62.7    0    .0
I531-6B    350.0  Cm  1 157.650 139.5 -52.8   12.0 -48.0   12.0 -48.0    0    .0
I531-6B    400.0  Cm  1 139.310 133.2 -51.3    6.0 -47.0    6.0 -47.0    0    .0
I531-6B    300.2  Cm  1 151.852 130.0 -55.2    3.9 -51.1    3.9 -51.1    0    .0
I531-6B    400.1  Cm  0 220.239 129.9 -68.1    7.4 -63.8    7.4 -63.8    0    .0
I531-6B    435.1  Cm  0 215.985 121.3 -68.7    0.6 -65.1    0.6 -65.1    0    .0
I531-6B    435.0  Cm  1 138.005 117.1 -55.8  352.3 -52.7  352.3 -52.7    0    .0
I531-6B    470.0  Cm  1 121.875 112.5 -51.9  347.1 -49.3  347.1 -49.3    0    .0
I531-6B    400.2  Cm  0 189.540 117.6 -68.1  357.2 -64.8  357.2 -64.8    0    .0
I531-6B    470.1  Cm  1 195.916 109.9 -70.4  352.0 -67.7  352.0 -67.7    0    .0
I531-6B    505.1  Cm  0 215.764 107.6 -71.7  350.9 -69.1  350.9 -69.1    0    .0
I531-6B    505.0  Cm  1 127.477 103.3 -58.1  340.2 -56.2  340.2 -56.2    0    .0
I531-6B    520.0  Cm  1 111.646  98.4 -54.5  334.5 -53.2  334.5 -53.2    0    .0
I531-6B    470.2  Cm  0 183.191  97.6 -70.0  341.0 -68.4  341.0 -68.4    0    .0
I531-6B    520.1  Cm  0 225.588  96.0 -73.7  342.9 -72.0  342.9 -72.0    0    .0
I531-6B    535.1  Cm  0 354.672  82.2 -81.5  347.8 -80.3  347.8 -80.3    0    .0
I531-6B    535.0  Cm  1 100.574  95.0 -60.2  333.1 -59.2  333.1 -59.2    0    .0
I531-6B    550.0  Cm  1 25.3244 103.6 -53.6  339.2 -51.8  339.2 -51.8    0    .0
I531-6B    520.2  Cm  0 259.405 117.8 -86.2   24.7 -81.6   24.7 -81.6    0    .0
I531-6B    550.1  Cm  1 868.444  18.6 -87.9   38.2 -86.0   38.2 -86.0    0    .0
I531-6B    555.1  Cm  1 893.203 348.0 -88.3   52.5 -85.6   52.5 -85.6    0    .0
I531-6B    555.0  Cm  1 20.7465 101.0 -65.4  341.1 -63.6  341.1 -63.6    0    .0
I531-6B    560.0  Cm  1  5.8939 155.8 -62.7   27.7 -57.1   27.7 -57.1    0    .0
